sub,n,ROI,region,conscious_state_source,conscious_state_target,ROC AUC,Effect size,Confidence interval,p value,Corrected p value,x_order
sub-02,2304,Inferior parietal lobe,Visual,unconscious,unconscious,0.51 $\pm$ 0.20,0.05911518253216079,"[0.504,0.520]",0.0023499765002349,0.25379746202536924,8
sub-02,2024,Superior parietal gyrus,Working Memory,conscious,conscious,0.63 $\pm$ 0.30,0.4199097188238,"[0.613,0.639]",9.99990000099999e-06,0.001079989200107999,7
sub-02,2024,Superior frontal gyrus,Working Memory,conscious,conscious,0.55 $\pm$ 0.29,0.19076417776632562,"[0.542,0.567]",9.99990000099999e-06,0.001079989200107999,9
sub-02,2024,Middle fontal gyrus,Working Memory,conscious,conscious,0.53 $\pm$ 0.32,0.0785099813019216,"[0.511,0.540]",0.0002199978000219,0.0237597624023652,10
sub-02,2024,Inferior frontal gyrus,Working Memory,conscious,conscious,0.61 $\pm$ 0.29,0.36312418985415384,"[0.594,0.620]",9.99990000099999e-06,0.001079989200107999,11
sub-02,2304,Superior parietal gyrus,Working Memory,conscious,unconscious,0.53 $\pm$ 0.18,0.15564034898669135,"[0.521,0.536]",9.99990000099999e-06,0.001079989200107999,7
sub-02,2304,Superior frontal gyrus,Working Memory,conscious,unconscious,0.50 $\pm$ 0.19,-0.003179539742332881,"[0.492,0.507]",0.5606543934560655,1.0,9
sub-02,2304,Middle fontal gyrus,Working Memory,conscious,unconscious,0.50 $\pm$ 0.18,-0.022236735148195384,"[0.488,0.503]",0.8598914010859892,1.0,10
sub-02,2304,Inferior frontal gyrus,Working Memory,conscious,unconscious,0.49 $\pm$ 0.20,-0.06852617068180637,"[0.478,0.494]",0.999490005099949,1.0,11
sub-02,2304,Superior parietal gyrus,Working Memory,unconscious,unconscious,0.51 $\pm$ 0.21,0.02547006122148578,"[0.497,0.514]",0.1107388926110738,1.0,7
sub-02,2304,Superior frontal gyrus,Working Memory,unconscious,unconscious,0.51 $\pm$ 0.17,0.06185713704345262,"[0.504,0.517]",0.0014299857001429,0.1544384556154332,9
sub-02,2304,Middle fontal gyrus,Working Memory,unconscious,unconscious,0.55 $\pm$ 0.18,0.2619318391370669,"[0.540,0.554]",9.99990000099999e-06,0.001079989200107999,10
sub-02,2304,Inferior frontal gyrus,Working Memory,unconscious,unconscious,0.52 $\pm$ 0.19,0.08567682683597143,"[0.509,0.524]",2.999970000299997e-05,0.003239967600323997,11
sub-03,1892,Pericalcarine cortex,Visual,conscious,conscious,0.59 $\pm$ 0.26,0.32788589066450385,"[0.573,0.597]",9.99990000099999e-06,0.001079989200107999,0
sub-03,1892,Lingual,Visual,conscious,conscious,0.59 $\pm$ 0.29,0.3277809777778423,"[0.582,0.608]",9.99990000099999e-06,0.001079989200107999,1
sub-03,1892,Lateral occipital cortex,Visual,conscious,conscious,0.72 $\pm$ 0.26,0.8372812062120689,"[0.704,0.727]",9.99990000099999e-06,0.001079989200107999,2
sub-03,1892,Fusiform gyrus,Visual,conscious,conscious,0.76 $\pm$ 0.25,1.0369386359559711,"[0.745,0.767]",9.99990000099999e-06,0.001079989200107999,3
sub-03,1892,Inferior temporal lobe,Visual,conscious,conscious,0.65 $\pm$ 0.28,0.5287005788202965,"[0.633,0.658]",9.99990000099999e-06,0.001079989200107999,4
sub-03,1892,Parahippocampal gyrus,Visual,conscious,conscious,0.53 $\pm$ 0.27,0.11986035131592371,"[0.520,0.545]",9.99990000099999e-06,0.001079989200107999,5
sub-03,1892,Precuneus,Visual,conscious,conscious,0.53 $\pm$ 0.27,0.12048093383725333,"[0.520,0.545]",9.99990000099999e-06,0.001079989200107999,6
sub-03,1892,Inferior parietal lobe,Visual,conscious,conscious,0.74 $\pm$ 0.23,1.0422749681769474,"[0.734,0.755]",9.99990000099999e-06,0.001079989200107999,8
sub-03,2304,Pericalcarine cortex,Visual,conscious,unconscious,0.51 $\pm$ 0.17,0.07098482380815262,"[0.505,0.519]",0.0002599974000259,0.0280797192027972,0
sub-03,2304,Lingual,Visual,conscious,unconscious,0.51 $\pm$ 0.16,0.037416250387985066,"[0.499,0.513]",0.0363696363036369,1.0,1
sub-03,2304,Lateral occipital cortex,Visual,conscious,unconscious,0.54 $\pm$ 0.17,0.2613272145700666,"[0.537,0.551]",9.99990000099999e-06,0.001079989200107999,2
sub-03,2304,Fusiform gyrus,Visual,conscious,unconscious,0.56 $\pm$ 0.16,0.34794535131553755,"[0.550,0.564]",9.99990000099999e-06,0.001079989200107999,3
sub-03,2304,Inferior temporal lobe,Visual,conscious,unconscious,0.55 $\pm$ 0.17,0.28976449261294274,"[0.541,0.555]",9.99990000099999e-06,0.001079989200107999,4
sub-03,2304,Parahippocampal gyrus,Visual,conscious,unconscious,0.50 $\pm$ 0.17,-0.00941919756316258,"[0.492,0.505]",0.6759132408675913,1.0,5
sub-03,2304,Precuneus,Visual,conscious,unconscious,0.53 $\pm$ 0.16,0.16917636605765357,"[0.521,0.534]",9.99990000099999e-06,0.001079989200107999,6
sub-03,2304,Inferior parietal lobe,Visual,conscious,unconscious,0.54 $\pm$ 0.16,0.22534752726721366,"[0.529,0.542]",9.99990000099999e-06,0.001079989200107999,8
sub-03,2304,Pericalcarine cortex,Visual,unconscious,unconscious,0.48 $\pm$ 0.16,-0.11849571958274102,"[0.475,0.488]",1.0,1.0,0
sub-03,2304,Lingual,Visual,unconscious,unconscious,0.49 $\pm$ 0.17,-0.08739287303406318,"[0.478,0.492]",0.999990000099999,1.0,1
sub-03,2304,Lateral occipital cortex,Visual,unconscious,unconscious,0.53 $\pm$ 0.17,0.14635349125205108,"[0.518,0.533]",9.99990000099999e-06,0.001079989200107999,2
sub-03,2304,Fusiform gyrus,Visual,unconscious,unconscious,0.54 $\pm$ 0.16,0.22809832686544215,"[0.530,0.543]",9.99990000099999e-06,0.001079989200107999,3
sub-03,2304,Inferior temporal lobe,Visual,unconscious,unconscious,0.53 $\pm$ 0.17,0.17134485356076729,"[0.522,0.536]",9.99990000099999e-06,0.001079989200107999,4
sub-03,2304,Parahippocampal gyrus,Visual,unconscious,unconscious,0.51 $\pm$ 0.16,0.0377222071177904,"[0.500,0.513]",0.0340996590034099,1.0,5
sub-03,2304,Precuneus,Visual,unconscious,unconscious,0.53 $\pm$ 0.16,0.15570511101833892,"[0.519,0.532]",9.99990000099999e-06,0.001079989200107999,6
sub-03,2304,Inferior parietal lobe,Visual,unconscious,unconscious,0.53 $\pm$ 0.18,0.16683398250767145,"[0.522,0.537]",9.99990000099999e-06,0.001079989200107999,8
sub-03,1892,Superior parietal gyrus,Working Memory,conscious,conscious,0.55 $\pm$ 0.28,0.18765631101785146,"[0.541,0.566]",9.99990000099999e-06,0.001079989200107999,7
sub-03,1892,Superior frontal gyrus,Working Memory,conscious,conscious,0.42 $\pm$ 0.30,-0.26133452767352777,"[0.407,0.434]",1.0,1.0,9
sub-03,1892,Middle fontal gyrus,Working Memory,conscious,conscious,0.40 $\pm$ 0.26,-0.38139807843884016,"[0.389,0.412]",1.0,1.0,10
sub-03,1892,Inferior frontal gyrus,Working Memory,conscious,conscious,0.56 $\pm$ 0.27,0.21876459758007635,"[0.547,0.572]",9.99990000099999e-06,0.001079989200107999,11
sub-03,2304,Superior parietal gyrus,Working Memory,conscious,unconscious,0.53 $\pm$ 0.17,0.184360740566526,"[0.525,0.539]",9.99990000099999e-06,0.001079989200107999,7
sub-03,2304,Superior frontal gyrus,Working Memory,conscious,unconscious,0.51 $\pm$ 0.16,0.07310604686611344,"[0.505,0.518]",0.0001999980000199,0.021599784002149198,9
sub-03,2304,Middle fontal gyrus,Working Memory,conscious,unconscious,0.52 $\pm$ 0.17,0.1250818315790509,"[0.514,0.528]",9.99990000099999e-06,0.001079989200107999,10
sub-03,2304,Inferior frontal gyrus,Working Memory,conscious,unconscious,0.52 $\pm$ 0.16,0.14218133587805545,"[0.516,0.529]",9.99990000099999e-06,0.001079989200107999,11
sub-03,2304,Superior parietal gyrus,Working Memory,unconscious,unconscious,0.53 $\pm$ 0.16,0.2034355610722168,"[0.527,0.540]",9.99990000099999e-06,0.001079989200107999,7
sub-03,2304,Superior frontal gyrus,Working Memory,unconscious,unconscious,0.50 $\pm$ 0.19,0.005484772415716261,"[0.493,0.509]",0.3977660223397766,1.0,9
sub-03,2304,Middle fontal gyrus,Working Memory,unconscious,unconscious,0.55 $\pm$ 0.16,0.29596789476466034,"[0.542,0.556]",9.99990000099999e-06,0.001079989200107999,10
sub-03,2304,Inferior frontal gyrus,Working Memory,unconscious,unconscious,0.57 $\pm$ 0.17,0.39624083704238766,"[0.559,0.572]",9.99990000099999e-06,0.001079989200107999,11
sub-04,1066,Pericalcarine cortex,Visual,conscious,conscious,0.44 $\pm$ 0.29,-0.21530632007330697,"[0.421,0.455]",1.0,1.0,0
sub-04,1066,Lingual,Visual,conscious,conscious,0.55 $\pm$ 0.27,0.1836857077024641,"[0.533,0.566]",9.99990000099999e-06,0.001079989200107999,1
sub-04,1066,Lateral occipital cortex,Visual,conscious,conscious,0.75 $\pm$ 0.22,1.1433713394032805,"[0.740,0.766]",9.99990000099999e-06,0.001079989200107999,2
sub-04,1066,Fusiform gyrus,Visual,conscious,conscious,0.83 $\pm$ 0.20,1.6215792645128047,"[0.813,0.838]",9.99990000099999e-06,0.001079989200107999,3
sub-04,1066,Inferior temporal lobe,Visual,conscious,conscious,0.76 $\pm$ 0.23,1.1119671742296704,"[0.745,0.773]",9.99990000099999e-06,0.001079989200107999,4
sub-04,1066,Parahippocampal gyrus,Visual,conscious,conscious,0.61 $\pm$ 0.27,0.39542998447290795,"[0.591,0.624]",9.99990000099999e-06,0.001079989200107999,5
sub-04,1066,Precuneus,Visual,conscious,conscious,0.56 $\pm$ 0.27,0.23786334257183525,"[0.548,0.581]",9.99990000099999e-06,0.001079989200107999,6
sub-04,1066,Inferior parietal lobe,Visual,conscious,conscious,0.67 $\pm$ 0.26,0.6475467554810009,"[0.655,0.686]",9.99990000099999e-06,0.001079989200107999,8
sub-04,2256,Pericalcarine cortex,Visual,conscious,unconscious,0.53 $\pm$ 0.19,0.1706352828143168,"[0.525,0.541]",9.99990000099999e-06,0.001079989200107999,0
sub-04,2256,Lingual,Visual,conscious,unconscious,0.54 $\pm$ 0.20,0.21098567178332223,"[0.534,0.550]",9.99990000099999e-06,0.001079989200107999,1
sub-04,2256,Lateral occipital cortex,Visual,conscious,unconscious,0.54 $\pm$ 0.19,0.19743872520150843,"[0.530,0.546]",9.99990000099999e-06,0.001079989200107999,2
sub-04,2256,Fusiform gyrus,Visual,conscious,unconscious,0.56 $\pm$ 0.20,0.29233980269677323,"[0.550,0.566]",9.99990000099999e-06,0.001079989200107999,3
sub-04,2256,Inferior temporal lobe,Visual,conscious,unconscious,0.53 $\pm$ 0.18,0.15857137110328845,"[0.522,0.537]",9.99990000099999e-06,0.001079989200107999,4
sub-04,2256,Parahippocampal gyrus,Visual,conscious,unconscious,0.56 $\pm$ 0.19,0.3082839011225923,"[0.550,0.565]",9.99990000099999e-06,0.001079989200107999,5
sub-04,2256,Precuneus,Visual,conscious,unconscious,0.52 $\pm$ 0.18,0.11106809239824023,"[0.513,0.528]",9.99990000099999e-06,0.001079989200107999,6
sub-04,2256,Inferior parietal lobe,Visual,conscious,unconscious,0.51 $\pm$ 0.21,0.02720779264235797,"[0.497,0.514]",0.0954090459095409,1.0,8
sub-04,2256,Pericalcarine cortex,Visual,unconscious,unconscious,0.43 $\pm$ 0.19,-0.36582480185191646,"[0.424,0.439]",1.0,1.0,0
sub-04,2256,Lingual,Visual,unconscious,unconscious,0.51 $\pm$ 0.17,0.07485276533906737,"[0.506,0.520]",0.0001499985000149,0.0161998380016092,1
sub-04,2256,Lateral occipital cortex,Visual,unconscious,unconscious,0.55 $\pm$ 0.19,0.2679035787274603,"[0.543,0.558]",9.99990000099999e-06,0.001079989200107999,2
sub-04,2256,Fusiform gyrus,Visual,unconscious,unconscious,0.56 $\pm$ 0.18,0.3255167815699601,"[0.552,0.567]",9.99990000099999e-06,0.001079989200107999,3
sub-04,2256,Inferior temporal lobe,Visual,unconscious,unconscious,0.49 $\pm$ 0.22,-0.040967405143612315,"[0.482,0.500]",0.975220247797522,1.0,4
