sub,roi_name,condition_source,condition_target,p
sub-02,Inferior parietal lobe,unconscious,unconscious,9.99990000099999e-06
sub-02,Inferior temporal lobe,conscious,conscious,9.99990000099999e-06
sub-02,Inferior temporal lobe,conscious,glimpse,9.99990000099999e-06
sub-02,Inferior temporal lobe,conscious,unconscious,9.99990000099999e-06
sub-02,Inferior temporal lobe,glimpse,conscious,9.99990000099999e-06
sub-02,Inferior temporal lobe,glimpse,glimpse,9.99990000099999e-06
sub-02,Inferior temporal lobe,glimpse,unconscious,9.99990000099999e-06
sub-02,Inferior temporal lobe,unconscious,conscious,9.99990000099999e-06
sub-02,Inferior temporal lobe,unconscious,glimpse,0.12079879201207988
sub-02,Inferior temporal lobe,unconscious,unconscious,0.999990000099999
sub-02,Lateral occipital cortex,conscious,conscious,9.99990000099999e-06
sub-02,Lateral occipital cortex,conscious,glimpse,9.99990000099999e-06
sub-02,Lateral occipital cortex,conscious,unconscious,9.99990000099999e-06
sub-02,Lateral occipital cortex,glimpse,conscious,9.99990000099999e-06
sub-02,Lateral occipital cortex,glimpse,glimpse,9.99990000099999e-06
sub-02,Lateral occipital cortex,glimpse,unconscious,0.6407835921640783
sub-02,Lateral occipital cortex,unconscious,conscious,9.99990000099999e-06
sub-02,Lateral occipital cortex,unconscious,glimpse,0.0967790322096779
sub-02,Lateral occipital cortex,unconscious,unconscious,4.999950000499995e-05
sub-02,Lingual,conscious,conscious,9.99990000099999e-06
sub-02,Lingual,conscious,glimpse,9.99990000099999e-06
sub-02,Lingual,conscious,unconscious,9.99990000099999e-06
sub-02,Lingual,glimpse,conscious,7.999920000799993e-05
sub-02,Lingual,glimpse,glimpse,9.99990000099999e-06
sub-02,Lingual,glimpse,unconscious,9.99990000099999e-06
sub-02,Lingual,unconscious,conscious,9.99990000099999e-06
sub-02,Lingual,unconscious,glimpse,9.99990000099999e-06
sub-02,Lingual,unconscious,unconscious,9.99990000099999e-06
sub-02,Middle fontal gyrus,conscious,conscious,9.99990000099999e-06
sub-02,Middle fontal gyrus,conscious,glimpse,9.99990000099999e-06
sub-02,Middle fontal gyrus,conscious,unconscious,9.99990000099999e-06
sub-02,Middle fontal gyrus,glimpse,conscious,9.99990000099999e-06
sub-02,Middle fontal gyrus,glimpse,glimpse,1.0
sub-02,Middle fontal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-02,Middle fontal gyrus,unconscious,conscious,0.5072649273507265
sub-02,Middle fontal gyrus,unconscious,glimpse,9.99990000099999e-06
sub-02,Middle fontal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-02,Parahippocampal gyrus,conscious,conscious,9.99990000099999e-06
sub-02,Parahippocampal gyrus,conscious,glimpse,9.99990000099999e-06
sub-02,Parahippocampal gyrus,conscious,unconscious,9.99990000099999e-06
sub-02,Parahippocampal gyrus,glimpse,conscious,9.99990000099999e-06
sub-02,Parahippocampal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-02,Parahippocampal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-02,Parahippocampal gyrus,unconscious,conscious,9.99990000099999e-06
sub-02,Parahippocampal gyrus,unconscious,glimpse,9.99990000099999e-06
sub-02,Parahippocampal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-02,Pericalcarine cortex,conscious,conscious,0.6981130188698113
sub-02,Pericalcarine cortex,conscious,glimpse,0.00010999890001099989
sub-02,Pericalcarine cortex,conscious,unconscious,9.99990000099999e-06
sub-02,Pericalcarine cortex,glimpse,conscious,9.99990000099999e-06
sub-02,Pericalcarine cortex,glimpse,glimpse,9.99990000099999e-06
sub-02,Pericalcarine cortex,glimpse,unconscious,0.17518824811751882
sub-02,Pericalcarine cortex,unconscious,conscious,0.01774982250177498
sub-02,Pericalcarine cortex,unconscious,glimpse,0.0005599944000559995
sub-02,Pericalcarine cortex,unconscious,unconscious,9.99990000099999e-06
sub-02,Precuneus,conscious,conscious,9.99990000099999e-06
sub-02,Precuneus,conscious,glimpse,9.99990000099999e-06
sub-02,Precuneus,conscious,unconscious,9.99990000099999e-06
sub-02,Precuneus,glimpse,conscious,0.9708802911970881
sub-02,Precuneus,glimpse,glimpse,9.99990000099999e-06
sub-02,Precuneus,glimpse,unconscious,9.99990000099999e-06
sub-02,Precuneus,unconscious,conscious,9.99990000099999e-06
sub-02,Precuneus,unconscious,glimpse,0.6858331416685833
sub-02,Precuneus,unconscious,unconscious,0.0041599584004159956
sub-02,Superior frontal gyrus,conscious,conscious,3.999960000399996e-05
sub-02,Superior frontal gyrus,conscious,glimpse,0.004929950700492995
sub-02,Superior frontal gyrus,conscious,unconscious,9.99990000099999e-06
sub-02,Superior frontal gyrus,glimpse,conscious,0.00016999830001699983
sub-02,Superior frontal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-02,Superior frontal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-02,Superior frontal gyrus,unconscious,conscious,0.00023999760002399976
sub-02,Superior frontal gyrus,unconscious,glimpse,2.999970000299997e-05
sub-02,Superior frontal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-02,Superior parietal gyrus,conscious,conscious,9.99990000099999e-06
sub-02,Superior parietal gyrus,conscious,glimpse,9.99990000099999e-06
sub-02,Superior parietal gyrus,conscious,unconscious,9.99990000099999e-06
sub-02,Superior parietal gyrus,glimpse,conscious,9.99990000099999e-06
sub-02,Superior parietal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-02,Superior parietal gyrus,glimpse,unconscious,0.14742852571474285
sub-02,Superior parietal gyrus,unconscious,conscious,0.03872961270387296
sub-02,Superior parietal gyrus,unconscious,glimpse,1.0
sub-02,Superior parietal gyrus,unconscious,unconscious,0.0003899961000389996
sub-03,Fusiform gyrus,conscious,conscious,9.99990000099999e-06
sub-03,Fusiform gyrus,conscious,glimpse,9.99990000099999e-06
sub-03,Fusiform gyrus,conscious,unconscious,9.99990000099999e-06
sub-03,Fusiform gyrus,glimpse,conscious,9.99990000099999e-06
sub-03,Fusiform gyrus,glimpse,glimpse,9.99990000099999e-06
sub-03,Fusiform gyrus,glimpse,unconscious,0.8150918490815092
sub-03,Fusiform gyrus,unconscious,conscious,5.999940000599994e-05
sub-03,Fusiform gyrus,unconscious,glimpse,0.8541414585854141
sub-03,Fusiform gyrus,unconscious,unconscious,9.99990000099999e-06
sub-03,Inferior frontal gyrus,conscious,conscious,9.99990000099999e-06
sub-03,Inferior frontal gyrus,conscious,glimpse,9.99990000099999e-06
sub-03,Inferior frontal gyrus,conscious,unconscious,0.999580004199958
sub-03,Inferior frontal gyrus,glimpse,conscious,0.0027099729002709972
sub-03,Inferior frontal gyrus,glimpse,glimpse,0.9576004239957601
sub-03,Inferior frontal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-03,Inferior frontal gyrus,unconscious,conscious,1.0
sub-03,Inferior frontal gyrus,unconscious,glimpse,9.99990000099999e-06
sub-03,Inferior frontal gyrus,unconscious,unconscious,1.999980000199998e-05
sub-03,Inferior parietal lobe,conscious,conscious,9.99990000099999e-06
sub-03,Inferior parietal lobe,conscious,glimpse,0.11310886891131089
sub-03,Inferior parietal lobe,conscious,unconscious,9.99990000099999e-06
sub-03,Inferior parietal lobe,glimpse,conscious,0.99330006699933
sub-03,Inferior parietal lobe,glimpse,glimpse,0.996750032499675
sub-03,Inferior parietal lobe,glimpse,unconscious,0.000989990100098999
sub-03,Inferior parietal lobe,unconscious,conscious,0.982260177398226
sub-03,Inferior parietal lobe,unconscious,glimpse,0.14833851661483385
sub-03,Inferior parietal lobe,unconscious,unconscious,0.0023599764002359977
sub-03,Inferior temporal lobe,conscious,conscious,9.99990000099999e-06
sub-03,Inferior temporal lobe,conscious,glimpse,9.99990000099999e-06
sub-03,Inferior temporal lobe,conscious,unconscious,0.00010999890001099989
sub-03,Inferior temporal lobe,glimpse,conscious,9.99990000099999e-06
sub-03,Inferior temporal lobe,glimpse,glimpse,9.99990000099999e-06
sub-03,Inferior temporal lobe,glimpse,unconscious,0.999990000099999
sub-03,Inferior temporal lobe,unconscious,conscious,0.007269927300726993
sub-03,Inferior temporal lobe,unconscious,glimpse,1.0
sub-03,Inferior temporal lobe,unconscious,unconscious,0.000939990600093999
sub-03,Lateral occipital cortex,conscious,conscious,9.99990000099999e-06
sub-03,Lateral occipital cortex,conscious,glimpse,9.99990000099999e-06
sub-03,Lateral occipital cortex,conscious,unconscious,9.99990000099999e-06
sub-03,Lateral occipital cortex,glimpse,conscious,9.99990000099999e-06
sub-03,Lateral occipital cortex,glimpse,glimpse,9.99990000099999e-06
sub-03,Lateral occipital cortex,glimpse,unconscious,9.99990000099999e-06
sub-03,Lateral occipital cortex,unconscious,conscious,9.99990000099999e-06
sub-03,Lateral occipital cortex,unconscious,glimpse,0.979940200597994
sub-03,Lateral occipital cortex,unconscious,unconscious,0.9553404465955341
sub-03,Lingual,conscious,conscious,9.99990000099999e-06
sub-03,Lingual,conscious,glimpse,0.8531214687853121
sub-03,Lingual,conscious,unconscious,9.99990000099999e-06
sub-03,Lingual,glimpse,conscious,0.7408325916740832
sub-03,Lingual,glimpse,glimpse,0.999980000199998
sub-03,Lingual,glimpse,unconscious,9.99990000099999e-06
sub-03,Lingual,unconscious,conscious,9.99990000099999e-06
sub-03,Lingual,unconscious,glimpse,9.99990000099999e-06
sub-03,Lingual,unconscious,unconscious,9.99990000099999e-06
sub-03,Middle fontal gyrus,conscious,conscious,0.00027999720002799973
sub-03,Middle fontal gyrus,conscious,glimpse,0.986710132898671
sub-03,Middle fontal gyrus,conscious,unconscious,0.8636613633863661
sub-03,Middle fontal gyrus,glimpse,conscious,9.99990000099999e-06
sub-03,Middle fontal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-03,Middle fontal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-03,Middle fontal gyrus,unconscious,conscious,1.0
sub-03,Middle fontal gyrus,unconscious,glimpse,9.99990000099999e-06
sub-03,Middle fontal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-03,Parahippocampal gyrus,conscious,conscious,9.99990000099999e-06
sub-03,Parahippocampal gyrus,conscious,glimpse,0.00021999780002199978
sub-03,Parahippocampal gyrus,conscious,unconscious,0.9644303556964431
sub-03,Parahippocampal gyrus,glimpse,conscious,0.999860001399986
sub-03,Parahippocampal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-03,Parahippocampal gyrus,glimpse,unconscious,0.6400135998640014
sub-03,Parahippocampal gyrus,unconscious,conscious,1.0
sub-03,Parahippocampal gyrus,unconscious,glimpse,0.021629783702162977
sub-03,Parahippocampal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-03,Pericalcarine cortex,conscious,conscious,9.99990000099999e-06
sub-03,Pericalcarine cortex,conscious,glimpse,1.0
sub-03,Pericalcarine cortex,conscious,unconscious,0.907060929390706
sub-03,Pericalcarine cortex,glimpse,conscious,0.17377826221737783
sub-03,Pericalcarine cortex,glimpse,glimpse,1.0
sub-03,Pericalcarine cortex,glimpse,unconscious,9.99990000099999e-06
sub-03,Pericalcarine cortex,unconscious,conscious,6.999930000699993e-05
sub-03,Pericalcarine cortex,unconscious,glimpse,1.999980000199998e-05
sub-03,Pericalcarine cortex,unconscious,unconscious,0.0008099919000809992
sub-03,Precuneus,conscious,conscious,0.9090409095909041
sub-03,Precuneus,conscious,glimpse,1.0
sub-03,Precuneus,conscious,unconscious,9.99990000099999e-06
sub-03,Precuneus,glimpse,conscious,0.9709002909970901
sub-03,Precuneus,glimpse,glimpse,1.0
sub-03,Precuneus,glimpse,unconscious,9.99990000099999e-06
sub-03,Precuneus,unconscious,conscious,0.13336866631333685
sub-03,Precuneus,unconscious,glimpse,0.004109958900410996
sub-03,Precuneus,unconscious,unconscious,9.99990000099999e-06
sub-03,Superior frontal gyrus,conscious,conscious,9.99990000099999e-06
sub-03,Superior frontal gyrus,conscious,glimpse,0.0003599964000359996
sub-03,Superior frontal gyrus,conscious,unconscious,0.5601943980560194
sub-03,Superior frontal gyrus,glimpse,conscious,9.99990000099999e-06
sub-03,Superior frontal gyrus,glimpse,glimpse,1.0
sub-03,Superior frontal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-03,Superior frontal gyrus,unconscious,conscious,9.99990000099999e-06
sub-03,Superior frontal gyrus,unconscious,glimpse,0.00021999780002199978
sub-03,Superior frontal gyrus,unconscious,unconscious,0.0012799872001279988
sub-03,Superior parietal gyrus,conscious,conscious,9.99990000099999e-06
sub-03,Superior parietal gyrus,conscious,glimpse,1.0
sub-03,Superior parietal gyrus,conscious,unconscious,9.99990000099999e-06
sub-03,Superior parietal gyrus,glimpse,conscious,0.4383256167438326
sub-03,Superior parietal gyrus,glimpse,glimpse,1.0
sub-03,Superior parietal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-03,Superior parietal gyrus,unconscious,conscious,9.99990000099999e-06
sub-03,Superior parietal gyrus,unconscious,glimpse,9.99990000099999e-06
sub-03,Superior parietal gyrus,unconscious,unconscious,0.10788892111078889
sub-04,Fusiform gyrus,conscious,conscious,9.99990000099999e-06
sub-04,Fusiform gyrus,conscious,glimpse,9.99990000099999e-06
sub-04,Fusiform gyrus,conscious,unconscious,9.99990000099999e-06
sub-04,Fusiform gyrus,glimpse,conscious,9.99990000099999e-06
sub-04,Fusiform gyrus,glimpse,glimpse,9.99990000099999e-06
sub-04,Fusiform gyrus,glimpse,unconscious,9.99990000099999e-06
sub-04,Fusiform gyrus,unconscious,conscious,9.99990000099999e-06
sub-04,Fusiform gyrus,unconscious,glimpse,9.99990000099999e-06
sub-04,Fusiform gyrus,unconscious,unconscious,9.99990000099999e-06
sub-04,Inferior frontal gyrus,conscious,conscious,9.99990000099999e-06
sub-04,Inferior frontal gyrus,conscious,glimpse,9.99990000099999e-06
sub-04,Inferior frontal gyrus,conscious,unconscious,9.99990000099999e-06
sub-04,Inferior frontal gyrus,glimpse,conscious,9.99990000099999e-06
sub-04,Inferior frontal gyrus,glimpse,glimpse,0.8377516224837752
sub-04,Inferior frontal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-04,Inferior frontal gyrus,unconscious,conscious,0.8737812621873782
sub-04,Inferior frontal gyrus,unconscious,glimpse,9.99990000099999e-06
sub-04,Inferior frontal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-04,Inferior parietal lobe,conscious,conscious,9.99990000099999e-06
sub-04,Inferior parietal lobe,conscious,glimpse,9.99990000099999e-06
sub-04,Inferior parietal lobe,conscious,unconscious,9.99990000099999e-06
sub-04,Inferior parietal lobe,glimpse,conscious,9.99990000099999e-06
sub-04,Inferior parietal lobe,glimpse,glimpse,9.99990000099999e-06
sub-04,Inferior parietal lobe,glimpse,unconscious,0.08763912360876391
sub-04,Inferior parietal lobe,unconscious,conscious,9.99990000099999e-06
sub-04,Inferior parietal lobe,unconscious,glimpse,9.99990000099999e-06
sub-04,Inferior parietal lobe,unconscious,unconscious,9.99990000099999e-06
sub-04,Inferior temporal lobe,conscious,conscious,9.99990000099999e-06
sub-04,Inferior temporal lobe,conscious,glimpse,9.99990000099999e-06
sub-04,Inferior temporal lobe,conscious,unconscious,9.99990000099999e-06
sub-04,Inferior temporal lobe,glimpse,conscious,9.99990000099999e-06
sub-04,Inferior temporal lobe,glimpse,glimpse,9.99990000099999e-06
sub-04,Inferior temporal lobe,glimpse,unconscious,0.20920790792092078
sub-04,Inferior temporal lobe,unconscious,conscious,9.99990000099999e-06
sub-04,Inferior temporal lobe,unconscious,glimpse,9.99990000099999e-06
sub-04,Inferior temporal lobe,unconscious,unconscious,9.99990000099999e-06
sub-04,Lateral occipital cortex,conscious,conscious,9.99990000099999e-06
sub-04,Lateral occipital cortex,conscious,glimpse,9.99990000099999e-06
sub-04,Lateral occipital cortex,conscious,unconscious,9.99990000099999e-06
sub-04,Lateral occipital cortex,glimpse,conscious,9.99990000099999e-06
sub-04,Lateral occipital cortex,glimpse,glimpse,9.99990000099999e-06
sub-04,Lateral occipital cortex,glimpse,unconscious,9.99990000099999e-06
sub-04,Lateral occipital cortex,unconscious,conscious,9.99990000099999e-06
sub-04,Lateral occipital cortex,unconscious,glimpse,9.99990000099999e-06
sub-04,Lateral occipital cortex,unconscious,unconscious,9.99990000099999e-06
sub-04,Lingual,conscious,conscious,9.99990000099999e-06
sub-04,Lingual,conscious,glimpse,9.99990000099999e-06
sub-04,Lingual,conscious,unconscious,0.036439635603643966
sub-04,Lingual,glimpse,conscious,9.99990000099999e-06
sub-04,Lingual,glimpse,glimpse,9.99990000099999e-06
sub-04,Lingual,glimpse,unconscious,1.0
sub-04,Lingual,unconscious,conscious,0.005479945200547995
sub-04,Lingual,unconscious,glimpse,0.0013099869001309988
sub-04,Lingual,unconscious,unconscious,1.0
sub-04,Middle fontal gyrus,conscious,conscious,1.0
sub-04,Middle fontal gyrus,conscious,glimpse,9.99990000099999e-06
sub-04,Middle fontal gyrus,conscious,unconscious,9.99990000099999e-06
sub-04,Middle fontal gyrus,glimpse,conscious,9.99990000099999e-06
sub-04,Middle fontal gyrus,glimpse,glimpse,0.013639863601363987
sub-04,Middle fontal gyrus,glimpse,unconscious,0.8550014499855001
sub-04,Middle fontal gyrus,unconscious,conscious,9.99990000099999e-06
sub-04,Middle fontal gyrus,unconscious,glimpse,0.000979990200097999
sub-04,Middle fontal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-04,Parahippocampal gyrus,conscious,conscious,9.99990000099999e-06
sub-04,Parahippocampal gyrus,conscious,glimpse,9.99990000099999e-06
sub-04,Parahippocampal gyrus,conscious,unconscious,0.6735032649673504
sub-04,Parahippocampal gyrus,glimpse,conscious,9.99990000099999e-06
sub-04,Parahippocampal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-04,Parahippocampal gyrus,glimpse,unconscious,0.6336236637633623
sub-04,Parahippocampal gyrus,unconscious,conscious,1.999980000199998e-05
sub-04,Parahippocampal gyrus,unconscious,glimpse,0.998370016299837
sub-04,Parahippocampal gyrus,unconscious,unconscious,0.03496965030349696
