response,rt_response,visibility,rt_visibility,correct_answer,category,subcategory,label,response_previous,rt_response_previous,visibility_previous,rt_visibility_previous,correct_answer_previous,category_previous,subcategory_previous,label_previous,sub,session,block
2,0.5402749180793762,1,0.460319459438324,1.0,Living_Things,Animals,armadillo,1,0.7203115820884705,3,0.3203291594982147,1.0,Nonliving_Things,Furniture,lamp,sub-01,1,3
1,0.4903211891651153,3,0.350325345993042,1.0,Nonliving_Things,Musical_Inst,guitar,2,0.5402749180793762,1,0.460319459438324,1.0,Living_Things,Animals,armadillo,sub-01,1,3
1,0.7203073501586914,2,0.4300983548164367,1.0,Nonliving_Things,Buildings,house,1,0.4903211891651153,3,0.350325345993042,1.0,Nonliving_Things,Musical_Inst,guitar,sub-01,1,3
1,0.3001912832260132,1,0.290315181016922,0.0,Living_Things,Marine_creatures,sperm-whale,1,0.7203073501586914,2,0.4300983548164367,1.0,Nonliving_Things,Buildings,house,sub-01,1,3
2,0.6002036333084106,3,0.2702760696411133,1.0,Nonliving_Things,Buildings,mill,1,0.3001912832260132,1,0.290315181016922,0.0,Living_Things,Marine_creatures,sperm-whale,sub-01,1,3
2,0.3803785145282745,1,0.3203353583812713,0.0,Nonliving_Things,Tools,hammer,2,0.6002036333084106,3,0.2702760696411133,1.0,Nonliving_Things,Buildings,mill,sub-01,1,3
2,0.7003782987594604,2,0.6903887987136841,1.0,Living_Things,Animals,tapir,2,0.3803785145282745,1,0.3203353583812713,0.0,Nonliving_Things,Tools,hammer,sub-01,1,3
2,0.5403885841369629,2,0.3803738951683044,1.0,Nonliving_Things,Kitchen_Uten,fondue,2,0.7003782987594604,2,0.6903887987136841,1.0,Living_Things,Animals,tapir,sub-01,1,3
2,0.5903342366218567,1,0.3701017200946808,1.0,Living_Things,Birds,barn-owl,2,0.5403885841369629,2,0.3803738951683044,1.0,Nonliving_Things,Kitchen_Uten,fondue,sub-01,1,3
2,0.7103747129440308,3,0.3003018498420715,1.0,Nonliving_Things,Kitchen_Uten,cup,2,0.5903342366218567,1,0.3701017200946808,1.0,Living_Things,Birds,barn-owl,sub-01,1,3
1,0.7903119325637817,2,0.310319572687149,0.0,Living_Things,Animals,cow,2,0.7103747129440308,3,0.3003018498420715,1.0,Nonliving_Things,Kitchen_Uten,cup,sub-01,1,3
2,0.4303078055381775,1,0.620343804359436,1.0,Living_Things,Animals,elephant,1,0.7903119325637817,2,0.310319572687149,0.0,Living_Things,Animals,cow,sub-01,1,3
1,0.6502667665481567,3,0.3703296780586242,1.0,Nonliving_Things,Vehicles,motorbike,2,0.4303078055381775,1,0.620343804359436,1.0,Living_Things,Animals,elephant,sub-01,1,3
2,0.3403148353099823,1,0.3503109812736511,0.0,Living_Things,Insects,butterfly,1,0.6502667665481567,3,0.3703296780586242,1.0,Nonliving_Things,Vehicles,motorbike,sub-01,1,3
2,0.4003340005874634,1,0.6003136038780212,0.0,Nonliving_Things,Furniture,filling-cabinet,2,0.3403148353099823,1,0.3503109812736511,0.0,Living_Things,Insects,butterfly,sub-01,1,3
2,0.6403138041496277,3,0.6303113698959351,1.0,Living_Things,Animals,tiger,2,0.4003340005874634,1,0.6003136038780212,0.0,Nonliving_Things,Furniture,filling-cabinet,sub-01,1,3
1,0.5703164339065552,2,0.3303188681602478,1.0,Nonliving_Things,Furniture,lectern,2,0.6403138041496277,3,0.6303113698959351,1.0,Living_Things,Animals,tiger,sub-01,1,3
1,0.6303178668022156,1,0.4103100299835205,1.0,Nonliving_Things,Kitchen_Uten,frying-pan,1,0.5703164339065552,2,0.3303188681602478,1.0,Nonliving_Things,Furniture,lectern,sub-01,1,3
1,0.5503109693527222,2,0.3603591918945312,0.0,Living_Things,Marine_creatures,crab,1,0.6303178668022156,1,0.4103100299835205,1.0,Nonliving_Things,Kitchen_Uten,frying-pan,sub-01,1,3
